,Postcode,Population,Households
1635352,NR1 1BA,36.0,25.0
1635354,NR1 1BD,8.0,4.0
1635361,NR1 1BP,77.0,62.0
1635363,NR1 1BT,1.0,1.0
1635365,NR1 1BW,39.0,32.0
1635370,NR1 1DB,11.0,10.0
1635374,NR1 1DG,8.0,5.0
1635385,NR1 1DW,1.0,1.0
1635389,NR1 1EA,113.0,79.0
1635399,NR1 1EP,23.0,13.0
1635400,NR1 1EQ,50.0,35.0
1635401,NR1 1ER,14.0,7.0
1635403,NR1 1ET,44.0,21.0
1635407,NR1 1EZ,27.0,19.0
1635436,NR1 1GW,103.0,69.0
1635440,NR1 1HA,3.0,0.0
1635441,NR1 1HB,108.0,79.0
1635442,NR1 1HD,30.0,22.0
1635446,NR1 1HH,69.0,45.0
1635447,NR1 1HJ,41.0,20.0
1635448,NR1 1HL,88.0,42.0
1635449,NR1 1HN,27.0,16.0
1635450,NR1 1HP,19.0,12.0
1635451,NR1 1HQ,16.0,12.0
1635452,NR1 1HR,6.0,4.0
1635453,NR1 1HS,51.0,22.0
1635457,NR1 1HX,70.0,62.0
1635460,NR1 1JA,33.0,17.0
1635461,NR1 1JB,68.0,34.0
1635464,NR1 1JF,15.0,7.0
1635465,NR1 1JG,33.0,22.0
1635467,NR1 1JJ,77.0,40.0
1635468,NR1 1JL,29.0,13.0
1635469,NR1 1JN,47.0,20.0
1635470,NR1 1JP,16.0,8.0
1635476,NR1 1JW,21.0,10.0
1635480,NR1 1LA,54.0,43.0
1635481,NR1 1LB,1.0,1.0
1635488,NR1 1LL,10.0,5.0
1635494,NR1 1LT,6.0,2.0
1635495,NR1 1LU,6.0,2.0
1635496,NR1 1LW,29.0,15.0
1635497,NR1 1LX,12.0,5.0
1635502,NR1 1ND,40.0,21.0
1635507,NR1 1NJ,1.0,1.0
1635509,NR1 1NN,44.0,19.0
1635510,NR1 1NP,19.0,18.0
1635512,NR1 1NR,5.0,3.0
1635513,NR1 1NS,2.0,1.0
1635516,NR1 1NW,26.0,15.0
1635521,NR1 1PB,24.0,8.0
1635522,NR1 1PD,1.0,1.0
1635523,NR1 1PE,3.0,1.0
1635524,NR1 1PF,112.0,76.0
1635525,NR1 1PG,19.0,13.0
1635526,NR1 1PH,30.0,18.0
1635527,NR1 1PJ,15.0,9.0
1635528,NR1 1PL,8.0,4.0
1635529,NR1 1PN,1.0,1.0
1635531,NR1 1PQ,7.0,5.0
1635532,NR1 1PR,66.0,38.0
1635533,NR1 1PS,22.0,14.0
1635536,NR1 1PW,1.0,1.0
1635540,NR1 1QA,32.0,15.0
1635542,NR1 1QD,11.0,6.0
1635543,NR1 1QE,35.0,16.0
1635545,NR1 1QG,1.0,1.0
1635546,NR1 1QH,18.0,11.0
1635548,NR1 1QL,47.0,24.0
1635549,NR1 1QN,48.0,22.0
1635550,NR1 1QP,61.0,35.0
1635551,NR1 1QQ,72.0,44.0
1635552,NR1 1QR,64.0,46.0
1635553,NR1 1QS,56.0,42.0
1635554,NR1 1QT,1.0,1.0
1635558,NR1 1QY,58.0,41.0
1635561,NR1 1RD,39.0,19.0
1635564,NR1 1RG,32.0,17.0
1635565,NR1 1RH,62.0,23.0
1635566,NR1 1RJ,11.0,5.0
1635567,NR1 1RL,13.0,7.0
1635570,NR1 1RQ,5.0,4.0
1635573,NR1 1RT,56.0,6.0
1635575,NR1 1RW,2.0,2.0
1635585,NR1 1SH,54.0,32.0
1635587,NR1 1SL,80.0,40.0
1635588,NR1 1SN,7.0,5.0
1635589,NR1 1SP,25.0,12.0
1635590,NR1 1SQ,8.0,5.0
1635591,NR1 1SR,78.0,53.0
1635595,NR1 1SW,2.0,1.0
1635596,NR1 1SX,26.0,12.0
1635598,NR1 1SZ,33.0,16.0
1635599,NR1 1TA,7.0,5.0
1635600,NR1 1TB,67.0,44.0
1635604,NR1 1TG,9.0,5.0
1635605,NR1 1TH,32.0,15.0
1635606,NR1 1TJ,82.0,42.0
1635607,NR1 1TL,36.0,15.0
1635610,NR1 1TQ,7.0,3.0
1635611,NR1 1TR,46.0,22.0
1635612,NR1 1TS,53.0,36.0
1635614,NR1 1TU,137.0,77.0
1635615,NR1 1TW,2.0,2.0
1635616,NR1 1TX,38.0,21.0
1635617,NR1 1TY,4.0,1.0
1635621,NR1 1UD,18.0,9.0
1635624,NR1 1UG,8.0,5.0
1635625,NR1 1UH,28.0,19.0
1635628,NR1 1UN,16.0,13.0
1635636,NR1 1UX,67.0,47.0
1635644,NR1 1WS,100.0,57.0
1635652,NR1 1XB,41.0,28.0
1635653,NR1 1XD,12.0,6.0
1635662,NR1 1XR,70.0,38.0
1635672,NR1 1YL,98.0,65.0
1635673,NR1 1YN,86.0,57.0
1635674,NR1 1YP,78.0,54.0
1635676,NR1 1YR,95.0,69.0
1635677,NR1 1YS,53.0,36.0
1635678,NR1 1YW,42.0,26.0
1635689,NR1 2AA,56.0,18.0
1635690,NR1 2AB,42.0,22.0
1635691,NR1 2AD,7.0,6.0
1635692,NR1 2AE,18.0,7.0
1635693,NR1 2AF,19.0,12.0
1635694,NR1 2AG,12.0,7.0
1635696,NR1 2AJ,12.0,0.0
1635697,NR1 2AL,23.0,8.0
1635698,NR1 2AN,11.0,6.0
1635699,NR1 2AP,26.0,14.0
1635700,NR1 2AQ,4.0,2.0
1635701,NR1 2AR,8.0,6.0
1635702,NR1 2AS,40.0,26.0
1635703,NR1 2AT,42.0,18.0
1635704,NR1 2AU,6.0,6.0
1635705,NR1 2AW,26.0,20.0
1635706,NR1 2AX,5.0,2.0
1635707,NR1 2AY,4.0,3.0
1635708,NR1 2AZ,19.0,16.0
1635709,NR1 2BA,5.0,2.0
1635710,NR1 2BB,41.0,22.0
1635711,NR1 2BD,12.0,7.0
1635712,NR1 2BE,31.0,14.0
1635715,NR1 2BH,20.0,18.0
1635716,NR1 2BJ,3.0,1.0
1635717,NR1 2BL,40.0,27.0
1635718,NR1 2BN,8.0,3.0
1635720,NR1 2BQ,17.0,11.0
1635722,NR1 2BT,2.0,1.0
1635723,NR1 2BU,71.0,45.0
1635724,NR1 2BW,5.0,5.0
1635725,NR1 2BX,18.0,12.0
1635726,NR1 2BY,35.0,19.0
1635727,NR1 2BZ,23.0,10.0
1635728,NR1 2DA,68.0,37.0
1635729,NR1 2DB,10.0,5.0
1635732,NR1 2DF,13.0,7.0
1635733,NR1 2DG,37.0,35.0
1635747,NR1 2DZ,33.0,27.0
1635749,NR1 2EB,18.0,11.0
1635752,NR1 2EF,1.0,1.0
1635753,NR1 2EG,19.0,8.0
1635755,NR1 2EJ,21.0,11.0
1635756,NR1 2EL,72.0,39.0
1635757,NR1 2EN,3.0,1.0
1635758,NR1 2EP,35.0,22.0
1635759,NR1 2EQ,26.0,11.0
1635760,NR1 2ER,39.0,25.0
1635761,NR1 2ES,11.0,4.0
1635762,NR1 2ET,41.0,25.0
1635763,NR1 2EU,14.0,5.0
1635764,NR1 2EW,27.0,13.0
1635765,NR1 2EX,2.0,1.0
1635766,NR1 2EY,65.0,26.0
1635767,NR1 2EZ,35.0,16.0
1635769,NR1 2FB,15.0,6.0
1635770,NR1 2FD,6.0,4.0
1635771,NR1 2FE,11.0,6.0
1635772,NR1 2FF,9.0,5.0
1635773,NR1 2FG,44.0,29.0
1635774,NR1 2GA,31.0,19.0
1635776,NR1 2GD,53.0,32.0
1635777,NR1 2GE,34.0,24.0
1635778,NR1 2GG,110.0,82.0
1635779,NR1 2GN,17.0,4.0
1635782,NR1 2HA,65.0,33.0
1635783,NR1 2HB,52.0,41.0
1635785,NR1 2HE,4.0,2.0
1635786,NR1 2HF,119.0,63.0
1635787,NR1 2HG,9.0,3.0
1635789,NR1 2HJ,71.0,32.0
1635790,NR1 2HL,2.0,1.0
1635791,NR1 2HN,41.0,16.0
1635792,NR1 2HP,50.0,26.0
1635793,NR1 2HQ,51.0,28.0
1635795,NR1 2HS,6.0,2.0
1635796,NR1 2HT,46.0,28.0
1635799,NR1 2HX,24.0,14.0
1635800,NR1 2HY,51.0,23.0
1635801,NR1 2HZ,72.0,25.0
1635804,NR1 2JD,102.0,37.0
1635805,NR1 2JE,35.0,13.0
1635806,NR1 2JF,83.0,46.0
1635807,NR1 2JG,127.0,54.0
1635808,NR1 2JH,38.0,16.0
1635809,NR1 2JJ,5.0,4.0
1635810,NR1 2JL,5.0,1.0
1635811,NR1 2JN,34.0,13.0
1635812,NR1 2JP,11.0,4.0
1635813,NR1 2JQ,98.0,43.0
1635814,NR1 2JR,39.0,17.0
1635815,NR1 2JS,87.0,27.0
1635816,NR1 2JT,54.0,24.0
1635817,NR1 2JU,21.0,10.0
1635818,NR1 2JW,19.0,7.0
1635819,NR1 2JX,108.0,41.0
1635820,NR1 2JY,29.0,12.0
1635821,NR1 2JZ,104.0,34.0
1635822,NR1 2LA,58.0,20.0
1635823,NR1 2LB,36.0,26.0
1635824,NR1 2LD,15.0,6.0
1635825,NR1 2LE,150.0,58.0
1635826,NR1 2LF,42.0,14.0
1635827,NR1 2LG,23.0,9.0
1635828,NR1 2LH,101.0,62.0
1635829,NR1 2LJ,39.0,26.0
1635830,NR1 2LL,165.0,59.0
1635831,NR1 2LN,46.0,17.0
1635832,NR1 2LP,51.0,14.0
1635833,NR1 2LQ,63.0,22.0
1635834,NR1 2LR,43.0,20.0
1635835,NR1 2LS,26.0,9.0
1635836,NR1 2LT,2.0,2.0
1635837,NR1 2LU,68.0,30.0
1635838,NR1 2LW,83.0,26.0
1635839,NR1 2LX,40.0,21.0
1635840,NR1 2LY,4.0,2.0
1635841,NR1 2LZ,5.0,3.0
1635842,NR1 2NA,7.0,2.0
1635843,NR1 2NB,66.0,37.0
1635844,NR1 2ND,21.0,12.0
1635845,NR1 2NE,86.0,37.0
1635846,NR1 2NF,95.0,34.0
1635847,NR1 2NG,110.0,54.0
1635848,NR1 2NH,9.0,5.0
1635849,NR1 2NJ,48.0,26.0
1635850,NR1 2NL,42.0,20.0
1635851,NR1 2NN,20.0,8.0
1635852,NR1 2NP,27.0,13.0
1635853,NR1 2NQ,60.0,28.0
1635854,NR1 2NR,16.0,5.0
1635855,NR1 2NS,7.0,2.0
1635856,NR1 2NT,157.0,64.0
1635857,NR1 2NU,47.0,20.0
1635858,NR1 2NW,65.0,34.0
1635859,NR1 2NX,121.0,50.0
1635860,NR1 2NY,117.0,56.0
1635861,NR1 2NZ,123.0,44.0
1635862,NR1 2PA,120.0,47.0
1635863,NR1 2PB,33.0,14.0
1635864,NR1 2PD,102.0,49.0
1635865,NR1 2PE,48.0,29.0
1635866,NR1 2PF,21.0,12.0
1635867,NR1 2PG,53.0,33.0
1635868,NR1 2PH,87.0,36.0
1635869,NR1 2PJ,87.0,41.0
1635871,NR1 2PN,32.0,14.0
1635872,NR1 2PP,48.0,23.0
1635873,NR1 2PQ,46.0,34.0
1635875,NR1 2PS,37.0,18.0
1635876,NR1 2PT,35.0,15.0
1635877,NR1 2PU,22.0,10.0
1635878,NR1 2PW,54.0,24.0
1635879,NR1 2PX,137.0,60.0
1635880,NR1 2PY,91.0,48.0
1635881,NR1 2PZ,10.0,6.0
1635882,NR1 2QA,19.0,11.0
1635883,NR1 2QB,23.0,12.0
1635884,NR1 2QD,36.0,27.0
1635885,NR1 2QE,5.0,3.0
1635886,NR1 2QF,39.0,19.0
1635887,NR1 2QG,21.0,10.0
1635888,NR1 2QH,62.0,27.0
1635889,NR1 2QJ,36.0,0.0
1635890,NR1 2QL,85.0,34.0
1635891,NR1 2QN,75.0,31.0
1635892,NR1 2QP,49.0,24.0
1635893,NR1 2QQ,54.0,22.0
1635894,NR1 2QR,64.0,32.0
1635895,NR1 2QS,49.0,23.0
1635896,NR1 2QT,22.0,8.0
1635897,NR1 2QU,37.0,16.0
1635898,NR1 2QW,66.0,29.0
